id,title,slug,category,ot_nt,bible_reference,story_summary,tags
1,Creation of Light,creation-of-light,Creation & Genesis,OT,Genesis 1:3,A simple coloring page showing God creating light at the very beginning of the Bible.,creation;light;Genesis;Genesis 1:3;Old Testament;beginning;Bible story;God speaks;light rays;kids coloring;simple scene
2,"Sun, Moon, and Stars Creation",sun-moon-and-stars-creation,Creation & Genesis,OT,Genesis 1:14-18,"A coloring page showing the sun, moon, and stars in the sky as part of God's creation.",creation;sun;moon;stars;sky;Genesis;Genesis 1:14-18;Old Testament;celestial;kids coloring;simple shapes;outline
3,Adam Naming the Animals,adam-naming-the-animals,Creation & Genesis,OT,Genesis 2:19-20,Adam sits peacefully while friendly animals gather around him as he gives them names.,Adam;animals;Eden;garden;Genesis;Genesis 2:19-20;Old Testament;lion;sheep;birds;Bible story;kids coloring;friendly animals;simple outlines
4,Adam and Eve in the Garden,adam-and-eve-in-the-garden,Creation & Genesis,OT,Genesis 2:8,Adam and Eve enjoy the beautiful Garden of Eden surrounded by trees and plants.,Adam;Eve;Eden;garden;trees;nature;Genesis;Genesis 2:8;Old Testament;Bible characters;kids coloring;simple scene;outline
5,Tree of Life (Kid-Friendly),tree-of-life-kid-friendly,Creation & Genesis,OT,Genesis 2:9,"A large, beautiful Tree of Life with many leaves and fruit in the middle of a peaceful garden.",tree of life;Eden;garden;tree;fruit;symbol;Genesis;Genesis 2:9;Old Testament;kids coloring;simple;outline
6,Animals in the Garden of Eden,animals-in-the-garden-of-eden,Creation & Genesis,OT,Genesis 2:19,"Friendly animals such as lions, elephants, birds, and sheep relaxing together in the Garden of Eden.",Eden;animals;creation;lion;elephant;birds;sheep;Genesis;Genesis 2:19;Old Testament;kids coloring;friendly animals;outline
7,Serene Garden Waterfall (Pre-Fall),serene-garden-waterfall-pre-fall,Creation & Genesis,OT,Genesis 2:10,"A calm river and waterfall flowing through a lush garden like Eden, with rocks and plants.",Eden;waterfall;river;garden;plants;trees;nature;Genesis;Genesis 2:10;Old Testament;calm scene;kids coloring;outline
8,Noah Building the Ark,noah-building-the-ark,Creation & Genesis,OT,Genesis 6:14,Noah works with tools and wooden boards as he follows God’s instructions to build the ark.,Noah;ark;boat;wood;tools;flood;Genesis;Genesis 6:14;Old Testament;Bible story;kids coloring;simple outlines
9,Noah’s Ark with Animals Entering,noah-s-ark-with-animals-entering,Creation & Genesis,OT,Genesis 7:8-9,"Pairs of animals walk toward Noah’s ark, ready to go aboard two by two.",Noah;ark;animals;pairs;lion;elephants;giraffes;Genesis;Genesis 7:8-9;Old Testament;kids coloring;friendly animals;outline
10,Ark on the Water with a Dove,ark-on-the-water-with-a-dove,Creation & Genesis,OT,Genesis 8:6-12,Noah’s ark floats on the water while a dove flies overhead carrying an olive branch.,ark;Noah;dove;olive branch;boat;water;flood;Genesis;Genesis 8:6-12;Old Testament;peace;kids coloring;outline
11,Rainbow over Noah’s Ark,rainbow-over-noah-s-ark,Creation & Genesis,OT,Genesis 9:13-17,"A colorful rainbow arches over Noah’s ark, reminding us of God’s promise.",rainbow;ark;Noah;promise;covenant;sky;clouds;Genesis;Genesis 9:13-17;Old Testament;kids coloring;simple scene;outline
12,Two Lions Boarding the Ark,two-lions-boarding-the-ark,Creation & Genesis,OT,Genesis 7:8,A pair of friendly lions walk side by side up a ramp to Noah’s ark.,lions;ark;Noah;animals;pair;Genesis;Genesis 7:8;Old Testament;kids coloring;friendly animals;outline
13,Two Elephants Boarding the Ark,two-elephants-boarding-the-ark,Creation & Genesis,OT,Genesis 7:8,Two elephants with long trunks walk together toward Noah’s ark in a kid-friendly style.,elephants;ark;Noah;animals;pair;Genesis;Genesis 7:8;Old Testament;kids coloring;friendly animals;simple outlines
14,Noah Releasing the Dove,noah-releasing-the-dove,Creation & Genesis,OT,Genesis 8:6-12,Noah gently lets a dove fly out of a window of the ark to look for dry land.,Noah;dove;ark;window;olive branch;Genesis;Genesis 8:6-12;Old Testament;Bible story;kids coloring;simple scene;outline
